universityName,departmentName,ratioKo,ratioMath,ratioEn,ratioTg,cutoffPercentile70,recruitCount,competitionRate,additionalRank,koreanCut70,mathCut70,tamguCut70,region,admissionGroup,dataSource
건국대학교,경제학과,0.3,0.25,0.2,0.25,91.5,33,6.2,32,89.0,90.0,93.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,국어국문학과,0.3,0.25,0.2,0.25,90.2,6,9.3,6,94.0,78.0,94.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,국제무역학과,0.3,0.25,0.2,0.25,84.2,32,7.4,42,88.0,97.0,76.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,기계‧로봇‧ 자동차공학부,0.2,0.35,0.15,0.3,88.0,39,4.5,47,92.0,95.0,82.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,기술경영학과,0.3,0.25,0.2,0.25,87.2,15,5.9,30,92.0,92.0,82.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,동물자원‧식품과학‧유통학부,0.2,0.35,0.15,0.3,88.8,45,4.9,18,94.0,92.0,84.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,문화콘텐츠학과,0.3,0.25,0.2,0.25,85.2,6,8.3,9,98.0,81.0,81.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,물리학과,0.2,0.35,0.15,0.3,85.8,12,6.8,10,91.0,97.0,77.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,부동산학과,0.25,0.3,0.2,0.25,90.0,14,4.2,5,85.0,93.0,91.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,사학과,0.3,0.25,0.2,0.25,87.2,5,7.4,1,96.0,78.0,87.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,사회환경공학부,0.2,0.35,0.15,0.3,86.5,42,4.7,41,93.0,93.0,80.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,산업공학과,0.2,0.35,0.15,0.3,88.5,16,4.4,29,82.0,97.0,87.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,생물공학과,0.2,0.35,0.15,0.3,83.2,17,6.6,18,93.0,97.0,71.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,수의예과,0.2,0.35,0.15,0.3,93.8,39,6.0,50,99.0,99.0,88.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,수학과,0.2,0.35,0.15,0.3,90.2,8,5.6,11,79.0,96.0,93.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,수학교육과,0.2,0.35,0.15,0.3,85.2,9,6.7,8,85.0,98.0,79.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,영상학과,0.25,0.3,0.2,0.25,77.0,35,12.6,2,67.0,,82.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,영어교육과,0.3,0.25,0.2,0.25,85.5,8,7.5,11,97.0,87.0,79.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,영어영문학과,0.3,0.25,0.2,0.25,90.0,6,11.2,5,96.0,85.0,89.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,응용통계학과,0.2,0.35,0.15,0.3,90.8,18,7.7,21,88.0,90.0,92.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,재료공학과,0.2,0.35,0.15,0.3,91.8,26,4.6,37,79.0,97.0,95.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,전기전자공학부,0.2,0.35,0.15,0.3,89.5,66,4.2,63,98.0,90.0,85.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,정치외교학과,0.2,0.35,0.15,0.3,87.2,13,7.5,10,88.0,95.0,83.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,중어중문학과,0.3,0.25,0.2,0.25,87.8,5,7.8,0,96.0,78.0,88.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,첨단바이오공학부,0.2,0.35,0.15,0.3,91.0,20,6.7,37,94.0,93.0,88.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,컴퓨터공학부,0.2,0.35,0.15,0.3,90.5,50,4.8,45,97.0,92.0,86.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,항공우주‧ 모빌리티공학과,0.2,0.35,0.15,0.3,85.8,25,5.1,18,89.0,97.0,78.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,행정학과,0.3,0.25,0.2,0.25,92.0,27,5.9,15,89.0,85.0,97.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,현대미술학과,0.3,0.25,0.2,0.25,67.0,32,4.9,4,61.0,,70.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,화공학부,0.2,0.35,0.15,0.3,89.8,31,4.5,33,95.0,92.0,86.0,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,화학과,0.2,0.35,0.15,0.3,90.0,9,6.1,13,82.0,95.0,91.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
건국대학교,환경보건‧산림조경학부,0.2,0.35,0.15,0.3,89.2,23,6.1,13,85.0,95.0,88.5,서울,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,AI컴퓨터공학부,0.2,0.35,0.15,0.3,80.7,3,7.00,6,83.0,81.0,78.0,경기,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,AI컴퓨터공학부 SW안전보안전공,0.2,0.35,0.15,0.3,73.7,20,9.80,11,75.0,87.0,59.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,AI컴퓨터공학부 인공지능전공,0.2,0.35,0.15,0.3,78.7,10,5.80,6,70.0,81.0,85.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
