region,universityName,admissionGroup,departmentName,recruitCount,competitionRate,additionalRank,koreanCut70,mathCut70,tamguCut70,percentile70,ratioKor,ratioMath,ratioEng,ratioTam
경남,국립창원대학교,가군,글로벌비즈니스학부,9,5.44,4,60.0,50.0,72.0,60.7,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,독어독문학과,1,5,1,49.0,36.0,77.0,54.0,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,미디어커뮤니케이션학과,2,4,2,52.0,56.0,74.0,60.7,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,법학과,8,5.63,12,61.0,46.0,72.0,59.7,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,사림아너스학부,16,5.06,28,61.0,48.0,65.0,58.0,0.25,0.3,0.2,0.25
경남,국립창원대학교,가군,사학과,4,6.25,6,52.0,48.0,68.0,56.0,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,사회계열자율전공학부,5,8,2,56.0,39.0,59.0,51.3,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,사회복지학과,4,7,8,52.0,39.0,74.0,55.0,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,사회학과,5,5.4,6,54.0,41.0,64.0,53.0,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,산업시스템공학과,8,5,20,49.0,52.0,59.0,53.3,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,세무학과,4,4.75,2,68.0,54.0,74.0,65.3,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,식품영양학과,2,8,2,52.0,39.0,74.0,55.0,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,신소재공학부,11,5.09,18,58.0,54.0,54.0,55.3,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,영어영문학과,6,6,4,42.0,45.0,74.0,53.7,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,의류학과,3,6.67,7,60.0,38.0,50.0,49.3,0.25,0.3,0.2,0.25
경남,국립창원대학교,가군,인문계열자율전공학부,3,6.67,1,42.0,50.0,68.0,53.3,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,일어일문학과,2,5,3,47.0,42.0,39.0,42.7,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,정보통신공학과,6,4.67,16,54.0,59.0,59.0,57.3,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,중국학과,7,6.57,4,67.0,30.0,69.0,55.3,0.25,0.3,0.2,0.25
경남,국립창원대학교,가군,철학과,2,10,2,65.0,37.0,51.0,51.0,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,컴퓨터공학과,10,4.3,16,52.0,59.0,67.0,59.3,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,통계학과,6,5.83,12,40.0,48.0,55.0,47.7,0.2,0.35,0.15,0.3
경남,국립창원대학교,가군,특수교육과,2,5,3,39.0,34.0,85.0,52.7,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,행정학과,6,4.67,3,58.0,41.0,72.0,57.0,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,행정학과(야),8,3.38,10,37.0,28.0,53.0,39.3,0.3,0.25,0.2,0.25
경남,국립창원대학교,가군,회계학과,6,5.17,7,60.0,50.0,56.0,55.3,0.3,0.25,0.2,0.25
대전,국립한밭대학교,가군,건설환경공학과,4,9.75,5,,87.0,58.0,72.5,0.2,0.35,0.15,0.3
대전,국립한밭대학교,가군,건축공학과,5,7.00,3,,63.0,95.0,79.0,0.2,0.35,0.15,0.3
대전,국립한밭대학교,가군,건축학과(5년제),4,7.50,3,,74.0,87.0,80.5,0.2,0.35,0.15,0.3
대전,국립한밭대학교,가군,경제학과,5,6.60,5,68.0,,96.0,82.0,0.3,0.25,0.2,0.25
대전,국립한밭대학교,다군,공학건설학부,8,11.50,30,,85.0,74.0,79.5,0.2,0.35,0.15,0.3
대전,국립한밭대학교,나군,기계공학과,6,6.83,12,74.0,78.0,,76.0,0.2,0.35,0.15,0.3
대전,국립한밭대학교,가군,도시공학과,7,9.43,4,75.0,66.0,,70.5,0.2,0.35,0.15,0.3
대전,국립한밭대학교,나군,산업경영공학과,4,9.25,7,,78.0,72.0,75.0,0.2,0.35,0.15,0.3
대전,국립한밭대학교,가군,산업디자인학과,5,6.60,1,68.0,,90.0,79.0,0.3,0.25,0.2,0.25
대전,국립한밭대학교,나군,설비공학과,6,7.50,3,,63.0,85.0,74.0,0.2,0.35,0.15,0.3
대전,국립한밭대학교,가군,시각·영상디자인학과,5,7.00,3,67.0,,95.0,81.0,0.3,0.25,0.2,0.25
대전,국립한밭대학교,나군,신소재공학과,9,5.22,10,,74.0,77.0,75.5,0.2,0.35,0.15,0.3
대전,국립한밭대학교,나군,영어영문학과,4,10.25,5,74.0,,92.0,83.0,0.3,0.25,0.2,0.25
대전,국립한밭대학교,가군,융합경영학과,5,7.40,2,75.0,,96.0,85.5,0.3,0.25,0.2,0.25
대전,국립한밭대학교,가군,인공지능소프트웨어학과,4,4.25,6,,74.0,77.0,75.5,0.2,0.35,0.15,0.3
대전,국립한밭대학교,다군,인문사회경상학부,8,14.88,22,72.0,,97.0,84.5,0.3,0.25,0.2,0.25
대전,국립한밭대학교,나군,일본어과,7,6.43,6,,54.0,92.0,73.0,0.25,0.3,0.2,0.25
대전,국립한밭대학교,다군,자율전공학부,7,15.86,15,72.0,,94.0,83.0,0.2,0.35,0.15,0.3
대전,국립한밭대학교,가군,전기공학과,6,4.00,5,,78.0,77.0,77.5,0.2,0.35,0.15,0.3
대전,국립한밭대학교,가군,전자공학과,4,6.00,0,,74.0,85.0,79.5,0.2,0.35,0.15,0.3
대전,국립한밭대학교,다군,정보기술학부,7,14.57,26,67.0,81.0,,74.0,0.2,0.35,0.15,0.3
대전,국립한밭대학교,가군,정보통신공학과,5,5.00,4,,74.0,83.0,78.5,0.2,0.35,0.15,0.3
대전,국립한밭대학교,나군,중국어과,4,8.25,3,75.0,,83.0,79.0,0.3,0.25,0.2,0.25
